run_id,seed,model_id,feature_set,algorithm,n_features,cv_auc_roc,best_params_json,auc_roc,auc_pr,accuracy,precision,recall,specificity,f1,mcc,brier_score
10,52,Model_B_xgboost,B,xgboost,33,0.8466241796778708,"{""colsample_bytree"": 0.7206679314702368, ""gamma"": 0.30616286215631205, ""learning_rate"": 0.02921046817024852, ""max_depth"": 8, ""min_child_weight"": 7, ""n_estimators"": 122, ""scale_pos_weight"": 1.377795554202561, ""subsample"": 0.6394526798381043}",0.853779069767442,0.7709256165781548,0.7619047619047619,0.5833333333333334,0.875,0.7093023255813954,0.7,0.5445894743384724,0.16834206569873536
11,53,Model_A_catboost,A,catboost,20,0.8768012979422376,"{""depth"": 4, ""iterations"": 319, ""l2_leaf_reg"": 8.727296718508546, ""learning_rate"": 0.033713482716699814}",0.8209302325581396,0.6870714475616759,0.7777777777777778,0.6875,0.55,0.8837209302325582,0.6111111111111112,0.46382129688900453,0.15158621967114236
11,53,Model_A_lightgbm,A,lightgbm,20,0.8604347765421592,"{""colsample_bytree"": 0.6200254568470375, ""learning_rate"": 0.11117668419656689, ""min_child_samples"": 43, ""n_estimators"": 164, ""num_leaves"": 115, ""reg_alpha"": 4.269818912007003, ""reg_lambda"": 3.488364825379344, ""subsample"": 0.9307173276066095}",0.844767441860465,0.7519002490541548,0.8095238095238095,0.7,0.7,0.8604651162790697,0.7,0.5604651162790698,0.14218462859684608
11,53,Model_A_random_forest,A,random_forest,20,0.8661012587187084,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 9, ""min_samples_leaf"": 2, ""min_samples_split"": 10, ""n_estimators"": 385}",0.8572674418604652,0.7777374556664284,0.8253968253968254,0.75,0.675,0.8953488372093024,0.7105263157894737,0.5876886139587394,0.13989377361231417
11,53,Model_A_xgboost,A,xgboost,20,0.8401555918334442,"{""colsample_bytree"": 0.6671040938111766, ""gamma"": 0.04269812434700243, ""learning_rate"": 0.11405229357386473, ""max_depth"": 8, ""min_child_weight"": 2, ""n_estimators"": 407, ""scale_pos_weight"": 1.7039253648475243, ""subsample"": 0.6180996829284727}",0.8034883720930233,0.6855274178240454,0.746031746031746,0.6,0.6,0.813953488372093,0.6,0.413953488372093,0.18268759694584352
11,53,Model_B_catboost,B,catboost,33,0.8706733966801081,"{""depth"": 4, ""iterations"": 371, ""l2_leaf_reg"": 5.715167005163904, ""learning_rate"": 0.010950035062243325}",0.8610465116279071,0.7821265238031969,0.8412698412698413,0.717391304347826,0.825,0.8488372093023255,0.7674418604651163,0.6514938209112507,0.1355875854480566
11,53,Model_B_lightgbm,B,lightgbm,33,0.8620560415862428,"{""colsample_bytree"": 0.6601684974997454, ""learning_rate"": 0.025909471646631765, ""min_child_samples"": 41, ""n_estimators"": 87, ""num_leaves"": 90, ""reg_alpha"": 0.830900388721549, ""reg_lambda"": 4.7925954823001184, ""subsample"": 0.756318139985386}",0.8558139534883721,0.753994695602021,0.7698412698412699,0.5932203389830508,0.875,0.7209302325581395,0.7070707070707071,0.5559186353717613,0.1699117988026462
11,53,Model_B_random_forest,B,random_forest,33,0.8453395315811423,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 10, ""min_samples_leaf"": 8, ""min_samples_split"": 20, ""n_estimators"": 471}",0.8627906976744185,0.7713458386525137,0.7857142857142857,0.6140350877192983,0.875,0.7441860465116279,0.7216494845360825,0.5790797909522378,0.17121621468719161
11,53,Model_B_xgboost,B,xgboost,33,0.8443041001765833,"{""colsample_bytree"": 0.8433645719015987, ""gamma"": 0.27057071219727646, ""learning_rate"": 0.0739716229768317, ""max_depth"": 4, ""min_child_weight"": 2, ""n_estimators"": 247, ""scale_pos_weight"": 3.8160809046281585, ""subsample"": 0.9613202097254296}",0.7784883720930232,0.6912414445782044,0.6984126984126984,0.5192307692307693,0.675,0.7093023255813954,0.5869565217391305,0.36335797970948197,0.2115214535462057
12,54,Model_A_catboost,A,catboost,20,0.8925197784258188,"{""depth"": 8, ""iterations"": 428, ""l2_leaf_reg"": 8.365288511983954, ""learning_rate"": 0.027335024330356058}",0.8247093023255814,0.7162736353455426,0.7857142857142857,0.7241379310344828,0.525,0.9069767441860465,0.6086956521739131,0.47769942887907224,0.1501509438351862
12,54,Model_A_lightgbm,A,lightgbm,20,0.874243047900766,"{""colsample_bytree"": 0.6002162702673094, ""learning_rate"": 0.03308325024431182, ""min_child_samples"": 40, ""n_estimators"": 463, ""num_leaves"": 119, ""reg_alpha"": 1.9832397438813043, ""reg_lambda"": 1.0554824920740893, ""subsample"": 0.8116954887516796}",0.8220930232558139,0.7310413675130005,0.7857142857142857,0.7096774193548387,0.55,0.8953488372093024,0.6197183098591549,0.48132330980169186,0.14996878192729682
12,54,Model_A_random_forest,A,random_forest,20,0.8683779287806134,"{""class_weight"": ""balanced_subsample"", ""max_depth"": 10, ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 398}",0.858139534883721,0.7754528671277341,0.8095238095238095,0.7222222222222222,0.65,0.8837209302325582,0.6842105263157895,0.5499471433375359,0.13747294797957413
12,54,Model_A_xgboost,A,xgboost,20,0.8440744564905639,"{""colsample_bytree"": 0.909573618265459, ""gamma"": 0.29249931851623134, ""learning_rate"": 0.012593765570768266, ""max_depth"": 8, ""min_child_weight"": 3, ""n_estimators"": 218, ""scale_pos_weight"": 4.6223282700421215, ""subsample"": 0.6799990917707381}",0.8319767441860464,0.7259299019907058,0.746031746031746,0.5625,0.9,0.6744186046511628,0.6923076923076923,0.5348375457090452,0.19609049723133218
12,54,Model_B_catboost,B,catboost,33,0.8807407045662079,"{""depth"": 4, ""iterations"": 413, ""l2_leaf_reg"": 5.612033232084169, ""learning_rate"": 0.06902812497756285}",0.8177325581395348,0.7173484022863958,0.753968253968254,0.6097560975609756,0.625,0.813953488372093,0.6172839506172839,0.4361102908434826,0.16158728808638234
12,54,Model_B_lightgbm,B,lightgbm,33,0.8824602222253228,"{""colsample_bytree"": 0.9558436135394307, ""learning_rate"": 0.26983212945671264, ""min_child_samples"": 41, ""n_estimators"": 493, ""num_leaves"": 37, ""reg_alpha"": 2.398008633802522, ""reg_lambda"": 0.2708232911834283, ""subsample"": 0.7629157245630201}",0.7747093023255814,0.6748593293988867,0.7222222222222222,0.5675675675675675,0.525,0.813953488372093,0.5454545454545454,0.34643635756902164,0.1791508070202135
12,54,Model_B_random_forest,B,random_forest,33,0.8516067693920043,"{""class_weight"": null, ""max_depth"": 11, ""min_samples_leaf"": 1, ""min_samples_split"": 14, ""n_estimators"": 367}",0.8459302325581396,0.7585991893347381,0.753968253968254,0.6153846153846154,0.6,0.8255813953488372,0.6075949367088608,0.4285188449401233,0.1545463400529212
12,54,Model_B_xgboost,B,xgboost,33,0.8707431618505443,"{""colsample_bytree"": 0.9453993276797766, ""gamma"": 0.4573304451859318, ""learning_rate"": 0.27612177501021506, ""max_depth"": 9, ""min_child_weight"": 1, ""n_estimators"": 278, ""scale_pos_weight"": 2.184803484432116, ""subsample"": 0.9302709400791707}",0.7674418604651163,0.683042488735254,0.7301587301587301,0.5789473684210527,0.55,0.813953488372093,0.5641025641025641,0.36914073550369897,0.19300568262042525
13,55,Model_A_catboost,A,catboost,20,0.8819007443168517,"{""depth"": 7, ""iterations"": 247, ""l2_leaf_reg"": 4.2017068687713115, ""learning_rate"": 0.036833077468472517}",0.8340116279069767,0.7086001011543448,0.8095238095238095,0.7857142857142857,0.55,0.9302325581395349,0.6470588235294118,0.5376984297251608,0.14869721495637822
13,55,Model_A_lightgbm,A,lightgbm,20,0.8723053202918976,"{""colsample_bytree"": 0.7013587719696128, ""learning_rate"": 0.0157013768869771, ""min_child_samples"": 22, ""n_estimators"": 211, ""num_leaves"": 65, ""reg_alpha"": 1.2057738561262372, ""reg_lambda"": 4.5496157364008045, ""subsample"": 0.967624796872513}",0.8534883720930232,0.7668154066534258,0.8174603174603174,0.6888888888888889,0.775,0.8372093023255814,0.7294117647058823,0.5947444242971581,0.1393575931326119
13,55,Model_A_random_forest,A,random_forest,20,0.8727223609773946,"{""class_weight"": null, ""max_depth"": 14, ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""n_estimators"": 162}",0.8593023255813953,0.7737442167611053,0.8095238095238095,0.7666666666666667,0.575,0.9186046511627907,0.6571428571428571,0.539463692551589,0.13771536062680742
13,55,Model_A_xgboost,A,xgboost,20,0.8455375871483253,"{""colsample_bytree"": 0.917555313237157, ""gamma"": 0.49213626021085016, ""learning_rate"": 0.18389586954458703, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 381, ""scale_pos_weight"": 3.4507384630193534, ""subsample"": 0.9197138689086979}",0.8133720930232559,0.7095975586276586,0.753968253968254,0.6216216216216216,0.575,0.8372093023255814,0.5974025974025974,0.4213093953969748,0.17149353363886854
